id,scenario,class_num,project,name-param-samling,AUC-ROC,MCC,path,clf
6615,within,5,Hive,NB 1e-09 RUS,0.557965981,0.078027835,z:\data\prediction_compare_5\within_Hive_NB 1e-09 RUS_10_.pk,NB
8163,cross,2,Hive,NB 0.1 SMOTE,0.583125576,0.164069968,z:\data\prediction_compare_2\cross_Hive_NB 0.1 SMOTE_10.pk,NB
8763,cross,3,Hive,NB 0.1 ROS,0.510042092,0.046036359,z:\data\prediction_compare_3\cross_Hive_NB 0.1 ROS_10.pk,NB
10551,cross,5,Hive,NB 0.001 SMOTE,0.503958694,0.015397175,z:\data\prediction_compare_5\cross_Hive_NB 0.001 SMOTE_10.pk,NB
16,timewise,2,Cassandra,NB 1e-09 NONE,0.569597918,0.080153519,z:\data\prediction_compare_2\timewise_Cassandra_NB 1e-09 NONE_10.pk,NB
2116,timewise,3,Cassandra,NB 1e-09 SMOTE,0.534444079,0.064687904,z:\data\prediction_compare_3\timewise_Cassandra_NB 1e-09 SMOTE_10.pk,NB
3316,timewise,5,Cassandra,NB 1e-09 SMOTE,0.535287079,0.067856515,z:\data\prediction_compare_5\timewise_Cassandra_NB 1e-09 SMOTE_10.pk,NB
3916,within,2,Cassandra,NB 1e-09 ROS,0.590287741,0.11155888,z:\data\prediction_compare_2\within_Cassandra_NB 1e-09 ROS_10_.pk,NB
4816,within,3,Cassandra,NB 1e-09 NONE,0.539378279,0.081836848,z:\data\prediction_compare_3\within_Cassandra_NB 1e-09 NONE_10_.pk,NB
6916,within,5,Cassandra,NB 1e-09 SMOTE,0.52257044,0.048465463,z:\data\prediction_compare_5\within_Cassandra_NB 1e-09 SMOTE_10_.pk,NB
7516,cross,2,Cassandra,NB 1e-09 ROS,0.521549335,0.027969884,z:\data\prediction_compare_2\cross_Cassandra_NB 1e-09 ROS_10.pk,NB
8416,cross,3,Cassandra,NB 1e-09 NONE,0.534914701,0.066545797,z:\data\prediction_compare_3\cross_Cassandra_NB 1e-09 NONE_10.pk,NB
9616,cross,5,Cassandra,NB 1e-09 NONE,0.516603628,0.034120945,z:\data\prediction_compare_5\cross_Cassandra_NB 1e-09 NONE_10.pk,NB
965,timewise,2,Camel,NB 0.1 SMOTE,0.608786554,0.132389565,z:\data\prediction_compare_2\timewise_Camel_NB 0.1 SMOTE_10.pk,NB
1265,timewise,3,Camel,NB 0.1 NONE,0.598345103,0.180774017,z:\data\prediction_compare_3\timewise_Camel_NB 0.1 NONE_10.pk,NB
2465,timewise,5,Camel,NB 0.1 NONE,0.594207438,0.1704111,z:\data\prediction_compare_5\timewise_Camel_NB 0.1 NONE_10.pk,NB
3653,within,2,Camel,NB 0.001 NONE,0.657241539,0.228210564,z:\data\prediction_compare_2\within_Camel_NB 0.001 NONE_10_.pk,NB
4853,within,3,Camel,NB 0.001 NONE,0.584536181,0.171042267,z:\data\prediction_compare_3\within_Camel_NB 0.001 NONE_10_.pk,NB
6053,within,5,Camel,NB 0.001 NONE,0.57719471,0.159074903,z:\data\prediction_compare_5\within_Camel_NB 0.001 NONE_10_.pk,NB
7541,cross,2,Camel,NB 1e-05 ROS,0.508972268,0.045879525,z:\data\prediction_compare_2\cross_Camel_NB 1e-05 ROS_10.pk,NB
8465,cross,3,Camel,NB 0.1 NONE,0.557336184,0.08082062,z:\data\prediction_compare_3\cross_Camel_NB 0.1 NONE_10.pk,NB
9653,cross,5,Camel,NB 0.001 NONE,0.561005164,0.069703523,z:\data\prediction_compare_5\cross_Camel_NB 0.001 NONE_10.pk,NB
